City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
huayucachi,-12.1333,-75.2333,49.82,74,100,3.85,PE,1612746983
rodrigues alves,-19.7,63.4167,77.27,81,0,17.87,MU,1612746984
homer,59.6425,-151.5483,26.6,74,1,6.91,US,1612746984
manchester,53.4809,-2.2374,35.01,64,90,13.8,GB,1612746779
tual,-5.6667,132.75,83.88,78,84,18.66,ID,1612746715
ndele,8.4109,20.6473,65.05,27,60,7.07,CF,1612746984
paracuru,-3.41,-39.0306,82.0,79,1,14.0,BR,1612746727
faya,18.3851,42.4509,51.8,53,0,5.75,SA,1612746985
vega de alatorre,35.2428,-102.4283,55.99,35,1,16.11,US,1612746985
jalu,29.0331,21.5482,68.0,25,100,19.08,LY,1612746985
chumikan,54.7183,135.315,-6.38,84,100,23.64,RU,1612746985
pevek,69.7008,170.3133,-5.78,82,0,2.77,RU,1612746985
faanui,-16.4833,-151.75,81.43,75,0,13.29,PF,1612746985
nanyuki,0.0167,37.0728,59.25,84,100,2.1,KE,1612746985
keshabpur,22.9183,89.2112,56.7,62,0,6.69,BD,1612746986
san juan de los morros,13.3034,-4.8956,72.72,21,79,11.43,ML,1612746828
buala,-8.145,159.5921,85.03,75,97,9.22,SB,1612746986
ternate,0.8,127.4,82.8,76,98,6.35,ID,1612746986
druzhba,52.0428,33.9453,1.02,92,98,2.89,UA,1612746986
valdivia,-39.8142,-73.2459,60.8,88,0,4.61,CL,1612746986
atagay,55.1033,99.3875,22.87,94,62,3.44,RU,1612746986
karpogory,64.0019,44.4451,-22.36,87,68,6.51,RU,1612746986
vallenar,-28.5708,-70.7581,62.42,65,0,2.46,CL,1612746986
meulaboh,4.1363,96.1285,78.08,82,100,3.62,ID,1612746836
monte azul,42.4687,9.3916,53.01,50,0,5.75,FR,1612746987
iqaluit,63.7506,-68.5145,30.2,74,90,14.97,CA,1612746987
prado,-17.3411,-39.2208,77.13,90,100,11.54,BR,1612746782
thayetmyo,19.3167,95.1833,63.0,58,0,2.71,MM,1612746987
atbasar,51.8,68.3333,13.95,97,100,4.85,KZ,1612746988
polyarnyy,69.1989,33.4478,19.4,86,40,8.95,RU,1612746988
souillac,-20.5167,57.5167,78.8,83,40,5.75,MU,1612746988
donskoye,45.4552,41.9741,17.6,100,90,6.71,RU,1612746988
carballo,43.213,-8.691,48.0,93,28,1.01,ES,1612746988
vila franca do campo,42.0304,-8.1588,46.0,94,83,17.0,PT,1612746989
sinjar,36.3209,41.8754,47.3,60,0,1.12,IQ,1612746989
prince rupert,52.9669,-108.3847,-23.8,69,1,5.75,CA,1612746989
qabaqcol,41.72,46.2647,48.2,61,75,11.5,AZ,1612746989
neiafu,-18.65,-173.9833,78.8,94,90,9.22,TO,1612746990
kurchum,48.5722,83.6542,20.35,92,77,3.85,KZ,1612746990
boddam,57.4667,-1.7833,34.0,80,75,9.22,GB,1612746990
port macquarie,-7.0349,29.7638,72.95,77,100,8.25,CD,1612746944
viedma,-40.8135,-62.9967,57.99,68,86,11.99,AR,1612746990
kirkuk,35.4681,44.3922,50.65,65,0,1.83,IQ,1612746990
crystal lake,45.0327,-93.3602,-2.2,46,90,8.05,US,1612746990
bereznik,62.8551,42.7072,-22.27,86,23,7.27,RU,1612746990
broome,42.2506,-75.833,16.0,57,1,16.11,US,1612746991
katobu,-4.9408,122.5276,83.05,76,100,6.04,ID,1612746991
lavrentiya,65.5833,-171.0,-8.61,86,18,9.33,RU,1612746991
okhotsk,59.3833,143.3,18.19,90,100,18.97,RU,1612746991
port elizabeth,-7.0349,29.7638,72.95,77,100,8.25,CD,1612746929
prabumulih,-3.45,104.25,76.23,94,61,4.61,ID,1612746991
